label,link,specialization,films_years,description
Паола Волкова,https://www.kinopoisk.ru/name/3186752,Актриса,"2, 2012 — 2012",Мост над бездной
Сергей Мачильский,https://www.kinopoisk.ru/name/238534,Оператор,"62, 1990 — 2023","Доктор Лиза,Зеленый театр в Земфире,Небесный суд,Свои,Механическая сюита,Небесный суд. Продолжение,Небесный суд,Годунов,Годунов. Продолжение,Царская прививка"
Ольга Жизнева,https://www.kinopoisk.ru/name/319556,"Актриса,Актриса дубляжа","47, 1925 — 2004","Разные судьбы,Закройщик из Торжка,Доживем до понедельника,Подкидыш,Адмирал Ушаков,Щит и меч"
Александр Иванов,https://www.kinopoisk.ru/name/6260263,"Режиссер,Сценарист,Продюсер","4, 2020 — 2023",
Лев Прыгунов,https://www.kinopoisk.ru/name/36389,"Актер,Актер дубляжа","155, 1962 — 2023","Дети Дон Кихота,Увольнение на берег,Трактир на Пятницкой,Безотцовщина,Освобождение: Направление главного удара,И все-таки я люблю...,Игра на выбывание,Колье Шарлотты,Под ливнем пуль,Огненные дороги"
Надя Дубиянски,https://www.kinopoisk.ru/name/4162835,"Режиссер,Актриса,Сценарист,Художник","1, 2014 — 2014",
Василий Зайцев,https://www.kinopoisk.ru/name/3425333,Актер,"11, 2010 — 2016","Кухня,Провокатор"
Екатерина Климова,https://www.kinopoisk.ru/name/594053,"Актриса,Актриса дубляжа","87, 2001 — 2024","Артек. Большое путешествие,Все не случайно,Мы из будущего,Любовь под прикрытием,По законам военного времени,Однажды в Ростове,Шакал,Мы из будущего,Григорий Р."
Татьяна Таушева,https://www.kinopoisk.ru/name/3702992,Актриса,"29, 2007 — 2023","Казанова,Сын отца народов,Отмена всех ограничений,Девушки с Макаровым,Эффект домино"
Татьяна Головин,https://www.kinopoisk.ru/name/3081742,,5,
Александр Маслаев,https://www.kinopoisk.ru/name/1420785,Актер,"8, 1997 — 2022",Шапито-шоу: Любовь и дружба
Ирина Баринова,https://www.kinopoisk.ru/name/1627801,Актриса,"49, 2004 — 2022","Выжить после,Без следа,Журов,Ещё одна жизнь,Склифосовский"
Надежда Селиванова,https://www.kinopoisk.ru/name/1746534,Актриса,"13, 2007 — 2021","Вампиры средней полосы,Мылодрама 2,ИП Пирогова,Клиника счастья"
Алексей Балабанов,https://www.kinopoisk.ru/name/64249,"Режиссер,Сценарист,Актер,Продюсер,Актер дубляжа","29, 1987 — 2023","Брат,Брат 2,Война,Жмурки,Счастливые дни"
Юлия Бордовских,https://www.kinopoisk.ru/name/224448,"Актриса,Сценарист,Продюсер","7, 2002 — 2023",День выборов
Николай Данилов,https://www.kinopoisk.ru/name/1865288,,1,
Наталья Рагозина,https://www.kinopoisk.ru/name/1610851,"Актриса,Продюсер","4, 2008 — 2016",
Карлос Протеус,https://www.kinopoisk.ru/name/3662513,Композитор,"1, 2013 — 2013",
Саша Алексеев,https://www.kinopoisk.ru/name/6011924,Актер,"15, 2019 — 2023","Контакт,«Везёт»,Шифр 2,СМЕРШ"
Максим Исаев,https://www.kinopoisk.ru/name/4540498,"Актер,Продюсер","4, 2015 — 2021",Полёт
Ирина Мазуркевич,https://www.kinopoisk.ru/name/269811,"Актриса,Актриса дубляжа","81, 1960 — 2021","О бедном гусаре замолвите слово,Всё будет хорошо,Сказ про то, как царь Петр арапа женил,Ты у меня одна,Трое в лодке, не считая собаки,Эксперимент,Открытая книга,Жизнь Клима Самгина"
Ольга Дубровина,https://www.kinopoisk.ru/name/5252823,Актриса,"35, 2004 — 2023","Тётя Марта,Анна-детективъ,Глухарь. Возвращение,Фишер,Ивановы-Ивановы"
Светлана Иванова,https://www.kinopoisk.ru/name/1202459,"Актриса,Актриса дубляжа","93, 2000 — 2024","Легенда №17,Привет, Киндер!,Частное пионерское,О нем,Кошечка,Крепость Бадабер,Триггер,Тест на беременность,Тест на беременность 2,Разведчицы"
Сергей Иванов,https://www.kinopoisk.ru/name/266198,"Актер,Режиссер,Сценарист,Продюсер","64, 1969 — 1998","В бой идут одни «старики»,Дачная поездка сержанта Цыбули,Аты-баты, шли солдаты...,Полеты во сне и наяву,Суета сует,Дни Турбиных,Как закалялась сталь,Батальоны просят огня,Рожденная революцией,Волны Черного моря"
Ирина Ракшина,https://www.kinopoisk.ru/name/64271,"Актриса,Актриса дубляжа","91, 1986 — 2024","Посетитель музея,Брат,Вы чье, старичье?,Садовник,Морфий,Счастливчик Пашка,Джек Восьмеркин — «американец»,Винтовая лестница,Мастер и Маргарита,Ментовские войны 5"
Аня Аваева,https://www.kinopoisk.ru/name/1123918,"Актриса,Продюсер,Монтажер","18, 2005 — 2018",Преступные связи
Янина Студилина,https://www.kinopoisk.ru/name/1561921,Актриса,"51, 2005 — 2024","Красная королева,Сёстры,Кибер Иван,Провинциалка,Город соблазнов"
Анна Демидова,https://www.kinopoisk.ru/name/6242742,Актриса,"10, 2009 — 2023","За полчаса до весны,Мамы чемпионов,АльфаРомео"
Руслан Мещанов,https://www.kinopoisk.ru/name/2200625,"Актер дубляжа,Актер","46, 2001 — 2023","Империя,Григорий Р.,Семейный альбом,Агент национальной безопасности. Возвращение"
Юрий Еске,https://www.kinopoisk.ru/name/6436692,Актер,"1, 2013 — 2013",
Андрей Биланов,https://www.kinopoisk.ru/name/1607893,Актер,"61, 1994 — 2022","Ментовские войны 11,Ментовские войны 10,Топтуны"
София Игнатова,https://www.kinopoisk.ru/name/1560568,Актриса,"29, 2004 — 2021","ЮЗЗЗ,Умножающий печаль,Интерны,Своя правда,Между нами, девочками. Продолжение"
Ольга Житник,https://www.kinopoisk.ru/name/2510892,Актриса,"13, 2000 — 2016","Агентство НЛС,Золотая клетка"
